Well,Content,Raw Data (600),
A01,Sample X1,1.645,
A02,Sample X2,1.663,
A03,Sample X3,0.197,
A04,Sample X4,0.220,
A05,Sample X5,0.227,
A06,Sample X6,0.195,
A07,Sample X7,0.222,
A08,Sample X8,0.234,
A09,Sample X9,0.219,
A10,Sample X10,0.223,
A11,Sample X11,0.217,
A12,Sample X12,0.211,
A13,Sample X13,0.219,
A14,Sample X14,0.221,
A15,Sample X15,0.203,
A16,Sample X16,0.283,
A17,Sample X17,0.237,
A18,Sample X18,0.206,
A19,Sample X19,0.227,
A20,Sample X20,0.227,
A21,Sample X21,0.259,
A22,Sample X22,0.211,
A23,Sample X23,1.633,
A24,Sample X24,1.593,
B01,Sample X25,1.664,
B02,Sample X26,1.635,
B03,Sample X27,0.212,
B04,Sample X28,0.178,
B05,Sample X29,0.174,
B06,Sample X30,0.191,
B07,Sample X31,0.234,
B08,Sample X32,0.203,
B09,Sample X33,0.227,
B10,Sample X34,0.228,
B11,Sample X35,0.250,
B12,Sample X36,0.205,
B13,Sample X37,0.227,
B14,Sample X38,0.217,
B15,Sample X39,0.240,
B16,Sample X40,0.187,
B17,Sample X41,0.205,
B18,Sample X42,0.218,
B19,Sample X43,0.203,
B20,Sample X44,0.193,
B21,Sample X45,0.197,
B22,Sample X46,0.207,
B23,Sample X47,1.505,
B24,Sample X48,1.933,
C01,Sample X49,1.629,
C02,Sample X50,1.863,
C03,Sample X51,0.155,
C04,Sample X52,0.231,
C05,Sample X53,0.168,
C06,Sample X54,0.186,
C07,Sample X55,0.215,
C08,Sample X56,0.197,
C09,Sample X57,0.203,
C10,Sample X58,0.165,
C11,Sample X59,0.211,
C12,Sample X60,0.199,
C13,Sample X61,0.184,
C14,Sample X62,0.179,
C15,Sample X63,0.183,
C16,Sample X64,0.194,
C17,Sample X65,0.196,
C18,Sample X66,0.174,
C19,Sample X67,0.209,
C20,Sample X68,0.165,
C21,Sample X69,0.174,
C22,Sample X70,0.174,
C23,Sample X71,1.606,
C24,Sample X72,1.497,
D01,Sample X73,1.517,
D02,Sample X74,1.593,
D03,Sample X75,0.178,
D04,Sample X76,0.184,
D05,Sample X77,0.203,
D06,Sample X78,0.167,
D07,Sample X79,0.203,
D08,Sample X80,0.194,
D09,Sample X81,0.259,
D10,Sample X82,0.185,
D11,Sample X83,0.192,
D12,Sample X84,0.175,
D13,Sample X85,0.177,
D14,Sample X86,0.187,
D15,Sample X87,0.186,
D16,Sample X88,0.187,
D17,Sample X89,0.236,
D18,Sample X90,0.193,
D19,Sample X91,0.169,
D20,Sample X92,0.181,
D21,Sample X93,0.199,
D22,Sample X94,0.209,
D23,Sample X95,1.550,
D24,Sample X96,1.636,
E01,Sample X97,1.700,
E02,Sample X98,1.184,
E03,Sample X99,0.212,
E04,Sample X100,0.289,
E05,Sample X101,0.198,
E06,Sample X102,0.190,
E07,Sample X103,0.204,
E08,Sample X104,0.184,
E09,Sample X105,0.173,
E10,Sample X106,0.197,
E11,Sample X107,0.185,
E12,Sample X108,0.182,
E13,Sample X109,0.180,
E14,Sample X110,0.200,
E15,Sample X111,0.200,
E16,Sample X112,0.183,
E17,Sample X113,0.194,
E18,Sample X114,0.193,
E19,Sample X115,0.182,
E20,Sample X116,0.182,
E21,Sample X117,0.198,
E22,Sample X118,0.182,
E23,Sample X119,1.564,
E24,Sample X120,1.694,
F01,Sample X121,1.657,
F02,Sample X122,1.251,
F03,Sample X123,0.186,
F04,Sample X124,0.219,
F05,Sample X125,0.201,
F06,Sample X126,0.189,
F07,Sample X127,0.187,
F08,Sample X128,0.212,
F09,Sample X129,0.198,
F10,Sample X130,0.168,
F11,Sample X131,0.174,
F12,Sample X132,0.174,
F13,Sample X133,0.191,
F14,Sample X134,0.208,
F15,Sample X135,0.187,
F16,Sample X136,0.189,
F17,Sample X137,0.196,
F18,Sample X138,0.190,
F19,Sample X139,0.177,
F20,Sample X140,0.199,
F21,Sample X141,0.207,
F22,Sample X142,0.177,
F23,Sample X143,1.547,
F24,Sample X144,1.639,
G01,Sample X145,2.014,
G02,Sample X146,1.262,
G03,Sample X147,0.203,
G04,Sample X148,0.214,
G05,Sample X149,0.186,
G06,Sample X150,0.228,
G07,Sample X151,0.191,
G08,Sample X152,0.195,
G09,Sample X153,0.161,
G10,Sample X154,0.160,
G11,Sample X155,0.164,
G12,Sample X156,0.179,
G13,Sample X157,0.150,
G14,Sample X158,0.167,
G15,Sample X159,0.101,
G16,Sample X160,0.183,
G17,Sample X161,0.178,
G18,Sample X162,0.183,
G19,Sample X163,0.186,
G20,Sample X164,0.191,
G21,Sample X165,0.181,
G22,Sample X166,0.176,
G23,Sample X167,1.598,
G24,Sample X168,1.637,
H01,Sample X169,1.861,
H02,Sample X170,1.606,
H03,Sample X171,0.191,
H04,Sample X172,0.198,
H05,Sample X173,0.192,
H06,Sample X174,0.192,
H07,Sample X175,0.198,
H08,Sample X176,0.202,
H09,Sample X177,0.200,
H10,Sample X178,0.198,
H11,Sample X179,0.175,
H12,Sample X180,0.192,
H13,Sample X181,0.173,
H14,Sample X182,0.203,
H15,Sample X183,0.228,
H16,Sample X184,0.221,
H17,Sample X185,0.189,
H18,Sample X186,0.183,
H19,Sample X187,0.169,
H20,Sample X188,0.168,
H21,Sample X189,0.185,
H22,Sample X190,0.181,
H23,Sample X191,1.589,
H24,Sample X192,1.629,
I01,Sample X193,1.656,
I02,Sample X194,1.653,
I03,Sample X195,0.202,
I04,Sample X196,0.183,
I05,Sample X197,0.189,
I06,Sample X198,0.170,
I07,Sample X199,0.163,
I08,Sample X200,0.176,
I09,Sample X201,0.157,
I10,Sample X202,0.174,
I11,Sample X203,0.166,
I12,Sample X204,0.176,
I13,Sample X205,0.179,
I14,Sample X206,0.175,
I15,Sample X207,0.172,
I16,Sample X208,0.189,
I17,Sample X209,0.188,
I18,Sample X210,0.183,
I19,Sample X211,0.169,
I20,Sample X212,0.178,
I21,Sample X213,0.183,
I22,Sample X214,0.168,
I23,Sample X215,0.984,
I24,Sample X216,1.612,
J01,Sample X217,1.621,
J02,Sample X218,1.638,
J03,Sample X219,0.173,
J04,Sample X220,0.175,
J05,Sample X221,0.193,
J06,Sample X222,0.196,
J07,Sample X223,0.183,
J08,Sample X224,0.186,
J09,Sample X225,0.201,
J10,Sample X226,0.200,
J11,Sample X227,0.180,
J12,Sample X228,0.202,
J13,Sample X229,0.174,
J14,Sample X230,0.185,
J15,Sample X231,0.210,
J16,Sample X232,0.203,
J17,Sample X233,0.181,
J18,Sample X234,0.188,
J19,Sample X235,0.186,
J20,Sample X236,0.192,
J21,Sample X237,0.187,
J22,Sample X238,0.188,
J23,Sample X239,1.716,
J24,Sample X240,1.632,
K01,Sample X241,1.825,
K02,Sample X242,1.508,
K03,Sample X243,0.166,
K04,Sample X244,0.167,
K05,Sample X245,0.181,
K06,Sample X246,0.186,
K07,Sample X247,0.171,
K08,Sample X248,0.177,
K09,Sample X249,0.172,
K10,Sample X250,0.189,
K11,Sample X251,0.175,
K12,Sample X252,0.168,
K13,Sample X253,0.176,
K14,Sample X254,0.175,
K15,Sample X255,0.172,
K16,Sample X256,0.184,
K17,Sample X257,0.179,
K18,Sample X258,0.200,
K19,Sample X259,0.174,
K20,Sample X260,0.180,
K21,Sample X261,0.184,
K22,Sample X262,0.192,
K23,Sample X263,1.631,
K24,Sample X264,1.573,
L01,Sample X265,1.675,
L02,Sample X266,1.516,
L03,Sample X267,0.188,
L04,Sample X268,0.179,
L05,Sample X269,0.184,
L06,Sample X270,0.174,
L07,Sample X271,0.185,
L08,Sample X272,0.189,
L09,Sample X273,0.200,
L10,Sample X274,0.176,
L11,Sample X275,0.188,
L12,Sample X276,0.180,
L13,Sample X277,0.185,
L14,Sample X278,0.196,
L15,Sample X279,0.224,
L16,Sample X280,0.181,
L17,Sample X281,0.179,
L18,Sample X282,0.195,
L19,Sample X283,0.187,
L20,Sample X284,0.178,
L21,Sample X285,0.193,
L22,Sample X286,0.177,
L23,Sample X287,0.787,
L24,Sample X288,1.590,
M01,Sample X289,1.543,
M02,Sample X290,1.953,
M03,Sample X291,0.178,
M04,Sample X292,0.179,
M05,Sample X293,0.164,
M06,Sample X294,0.186,
M07,Sample X295,0.201,
M08,Sample X296,0.189,
M09,Sample X297,0.180,
M10,Sample X298,0.179,
M11,Sample X299,0.172,
M12,Sample X300,0.173,
M13,Sample X301,0.149,
M14,Sample X302,0.242,
M15,Sample X303,0.176,
M16,Sample X304,0.162,
M17,Sample X305,0.179,
M18,Sample X306,0.161,
M19,Sample X307,0.180,
M20,Sample X308,0.175,
M21,Sample X309,0.210,
M22,Sample X310,0.166,
M23,Sample X311,0.554,
M24,Sample X312,1.204,
N01,Sample X313,1.649,
N02,Sample X314,1.635,
N03,Sample X315,0.220,
N04,Sample X316,0.185,
N05,Sample X317,0.178,
N06,Sample X318,0.176,
N07,Sample X319,0.189,
N08,Sample X320,0.197,
N09,Sample X321,0.210,
N10,Sample X322,0.178,
N11,Sample X323,0.190,
N12,Sample X324,0.184,
N13,Sample X325,0.169,
N14,Sample X326,0.179,
N15,Sample X327,0.173,
N16,Sample X328,0.179,
N17,Sample X329,0.188,
N18,Sample X330,0.184,
N19,Sample X331,0.193,
N20,Sample X332,0.154,
N21,Sample X333,0.177,
N22,Sample X334,0.183,
N23,Sample X335,1.561,
N24,Sample X336,1.636,
O01,Sample X337,1.702,
O02,Sample X338,1.315,
O03,Sample X339,0.210,
O04,Sample X340,0.176,
O05,Sample X341,0.199,
O06,Sample X342,0.190,
O07,Sample X343,0.175,
O08,Sample X344,0.176,
O09,Sample X345,0.208,
O10,Sample X346,0.185,
O11,Sample X347,0.189,
O12,Sample X348,0.176,
O13,Sample X349,0.174,
O14,Sample X350,0.184,
O15,Sample X351,0.243,
O16,Sample X352,0.196,
O17,Sample X353,0.187,
O18,Sample X354,0.194,
O19,Sample X355,0.198,
O20,Sample X356,0.192,
O21,Sample X357,0.191,
O22,Sample X358,0.181,
O23,Sample X359,1.594,
O24,Sample X360,1.598,
P01,Sample X361,1.680,
P02,Sample X362,1.611,
P03,Sample X363,0.213,
P04,Sample X364,0.229,
P05,Sample X365,0.209,
P06,Sample X366,0.207,
P07,Sample X367,0.234,
P08,Sample X368,0.234,
P09,Sample X369,0.243,
P10,Sample X370,0.235,
P11,Sample X371,0.226,
P12,Sample X372,0.225,
P13,Sample X373,0.217,
P14,Sample X374,0.224,
P15,Sample X375,0.200,
P16,Sample X376,0.228,
P17,Sample X377,0.212,
P18,Sample X378,0.232,
P19,Sample X379,0.250,
P20,Sample X380,0.195,
P21,Sample X381,0.209,
P22,Sample X382,0.213,
P23,Sample X383,1.614,
P24,Sample X384,1.638,
